id_pili,hydrant_id_uuid,station_id_uuid,station_id,station_code,zon,no_pili,pili_num_combine,alamat,penanda_kawasan,no_premis,id_kedudukan,kedudukan,poskod,lokasi,latitud,longitud,id_negeri,state_id_uuid,negeri,id_daerah,daerah,id_pemilikan_pili,pemilikan_pili,id_status_pili,status_pili,diameter_pengeluaran,image_1,id_jenis_pili,jenis_pili,id_parlimen,parlimen,tarikh_pili,id_syarikat_air,flag_migrasi,id_bandar,bandar,city_id_uuid,latitud_original,longitud_original,no_pili_asal
1141,cffb7b7e-7a1c-48d4-b0c0-e3967433b680,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,A,141,PJY-A-141,Depan Blok E11 Dengan Blok E10 Komplek Jabatan Kerajaan Parcel E Precint 1,Depan Blok E11 Dengan Blok E10,,1,Hadapan,,Putrajaya,2.94174,101.70673,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,2,Swasta,1,Berfungsi,0,,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p1_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.94174,E 101.70673,141
1142,aab27665-b689-4c24-b3fd-093af8aa8c1f,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,A,142,PJY-A-142,Depan Blok E7 Dengan E6(TNB Switch Room),Depan Blok E7 Dengan E6(TNB Switch Room,,1,Hadapan,,Putrajaya,2.94232,101.70684,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,2,Swasta,1,Berfungsi,0,,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p1_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.94232,E 101.70684,142
1143,c5604e0a-6353-4100-a8ef-6dc437e2cd6a,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,A,143,PJY-A-143,Depan Blok E10 dengan Blok E14 Komplek Jabatan Kerajaan Parcel E Precint 1,Depan Blok E10 dengan Blok E14,,1,Hadapan,,Putrajaya,2.94093,101.70659,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,2,Swasta,1,Berfungsi,0,,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p1_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.94093,E 101.70659,143
1144,e1c0d0e6-78b2-4379-945f-49ce6605b2e0,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,A,144,PJY-A-144,Tepi Blok E6 Komplak Jabatan Kerajan Parcel E Precint 1,Tepi Blok E6,,4,Tepi,,Putrajaya,2.94203,101.70589,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,2,Swasta,2,Tidak Berfungsi,0,,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p1_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.94203,E 101.70589,144
1145,1ce929a7-e689-4515-8238-d4eae1ed0c72,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,A,145,PJY-A-145,Depan Blok E6 Berhampiran Bulatan Parcel E Precint 1,Depan Blok E6 Berhampiran Bulatan ,,1,Hadapan,,Putrajaya,2.94244,101.70632,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,2,Swasta,1,Berfungsi,0,,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p1_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.94244,E 101.70632,145
1146,f1203a39-8043-4a8c-b932-691c0684f7ee,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,A,146,PJY-A-146,Depan Blok E7 Dengan E6 Parcel E Precint 1,Depan Blok E7 Dengan E6,,1,Hadapan,,Putrajaya,2.94276,101.7074,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,2,Swasta,1,Berfungsi,0,,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p1_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.94276,E 101.70740,146
1147,0e16d006-6fbc-4a37-a4cc-c016c3e8173e,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,A,147,PJY-A-147,Depan Blok E7Berhampiran Bulatan Parcel E Precint 1,Depan Blok E7Berhampiran Bulatan,,1,Hadapan,,Putrajaya,2.94224,101.70747,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,2,Swasta,1,Berfungsi,0,,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p1_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.94224,E 101.70747,147
1148,8ba41b5a-a6a3-4933-9a13-910eebcd1c88,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,A,148,PJY-A-148,Depan Bulatan Hampir Blok E7 Dengan E8 Parcel E Precint 1,Depan Bulatan Hampir Blok E7 Dengan E8,,1,Hadapan,,Putrajaya,2.94251,101.7076,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,2,Swasta,1,Berfungsi,0,,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p1_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.94251,E 101.70760,148
1149,cd45bac8-a980-4b9d-8fe0-cced629b0c1b,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,A,149,PJY-A-149,Belakang Blok E7 Padang Parcel E Precint 1,Belakang Blok E7 Padang,,2,Belakang,,Putrajaya,2.94168,101.7075,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,2,Swasta,1,Berfungsi,0,,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p1_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.94168,E 101.70750,149
1150,1d1c05cb-5696-4aec-96a2-cd97d62cc2d5,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,A,150,PJY-A-150,Belakang Blok E11 Padang Parcel E Precint 1,Belakang Blok E11 Padang,,2,Belakang,,Putrajaya,2.94188,101.70673,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,2,Swasta,1,Berfungsi,0,,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p1_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.94188,E 101.70673,150
