id_pili,hydrant_id_uuid,station_id_uuid,station_id,station_code,zon,no_pili,pili_num_combine,alamat,penanda_kawasan,id_kedudukan,kedudukan,lokasi,latitud,longitud,id_negeri,state_id_uuid,negeri,id_daerah,daerah,id_pemilikan_pili,pemilikan_pili,id_status_pili,status_pili,diameter_pengeluaran,id_jenis_pili,jenis_pili,id_parlimen,parlimen,tarikh_pili,id_syarikat_air,flag_migrasi,id_bandar,bandar,city_id_uuid,latitud_original,longitud_original,no_pili_asal
1753,3f1c7fe3-fe5c-4055-b7ce-e771b671efec,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,I,135,PJY-I-135,"Perumahan Belakang Petronas, Jalan P9A/1 Presint 9",Perumahan Belakang Petronas,2,Belakang,Putrajaya,2.93614,101.67361,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,1,Awam,1,Berfungsi,1798.83,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p9_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.936140,E 101.673610,135
1754,6939cad6-fb32-4c61-90cf-8d1728d80a96,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,I,136,PJY-I-136,"Hujung Perumahan Belakang Petronas, Jalan P9A/1 Presint 9",Hujung Perumahan Belakang Petronas,2,Belakang,Putrajaya,2.93511,101.67359,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,1,Awam,1,Berfungsi,1798.83,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p9_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.935110,E 101.673590,136
1755,bd0116dd-2996-413f-a220-18174c41d89c,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,I,137,PJY-I-137,"No.28,Jalan Presint 9A/3 Presint 9",Hadapan Rumah,1,Hadapan,Putrajaya,2.93496,101.67323,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,1,Awam,1,Berfungsi,1798.83,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p9_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.934960,E 101.673230,137
1756,b73f236e-f644-4679-8b66-923e11320f29,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,I,138,PJY-I-138,"No.37,Jalan P9A/3,Presint 9",Hadapan Rumah,1,Hadapan,Putrajaya,2.93554,101.67326,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,1,Awam,1,Berfungsi,1798.83,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p9_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.935540,E 101.673260,138
1757,7d7ab1a6-ff92-4468-87ce-5f91a99867cb,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,I,139,PJY-I-139,"No.8,Jalan P9A/3 Presint 9",Hadapan Rumah,1,Hadapan,Putrajaya,2.93432,101.67326,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,1,Awam,1,Berfungsi,1798.83,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p9_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.934320,E 101.673260,139
1758,90204890-51f6-4e2c-9263-bd4db955e71f,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,I,140,PJY-I-140,"No.40,Jalan P9A/4 Presint 9",Hadapan Rumah,1,Hadapan,Putrajaya,2.93446,101.6739,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,1,Awam,1,Berfungsi,363.453,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p9_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.934460,E 101.673900,140
1759,56513bf2-b28f-443b-b5a7-b3ecb2b05f09,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,I,141,PJY-I-141,"No.30,Jalan P9A/4 Presint 9",Hadapan Rumah,1,Hadapan,Putrajaya,2.9348,101.67438,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,1,Awam,1,Berfungsi,363.453,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p9_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.934800,E 101.674380,141
1760,f1ccbdb2-94a7-49b2-a545-ef12c9b9e055,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,I,142,PJY-I-142,"No.14,Jalan P9A/4 Presint 9",Hadapan Rumah,1,Hadapan,Putrajaya,2.93532,101.67461,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,1,Awam,1,Berfungsi,363.453,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p9_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N O2.935320,E 101.674610,142
1761,4f442fa6-9ab9-4113-806a-53b9ae1aeeed,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,I,143,PJY-I-143,"Simpang Jalan P9A/2 dan Jalan P9A/5,Presint 9",Berhampiran Simpang,3,Berhampiran,Putrajaya,2.93589,101.67431,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,1,Awam,1,Berfungsi,363.453,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p9_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.935890,E 101.674310,143
1762,7c6720c9-bf0e-4eaa-9b73-7274a6b31522,14e54cbf-55e5-4931-b0db-0bc1035ba3e6,337,PJY,I,144,PJY-I-144,"No.36,Jalan P9A/5,Presint 9",Hadapan Rumah,1,Hadapan,Putrajaya,2.93612,101.67494,2,09a53d0c-6993-4cfc-a9f0-3da42395ef59,Wilayah Persekutuan Putrajaya,136,WP Putrajaya,1,Awam,1,Berfungsi,363.453,1,Pillar Hydrant,125,Putrajaya,0000-00-00,0,putrajaya_p9_08092014,52,PUTRAJAYA (WP),d8b318e6-2d09-4e44-916f-a36e1caae4ae,N 02.936120,E 101.674940,144
