id,state_id,name,parliament_code
ea93a7b5-bfc6-49b2-97b7-cd303408414b,55c38deb-aae3-44c5-bfac-0bb919effec4,Kepong,P.114
bf63a016-1e69-4705-a1fd-cf7ebac5f8d8,55c38deb-aae3-44c5-bfac-0bb919effec4,Batu,P.115
1cd258a7-5d5e-4bfe-ae42-3e200605d82c,55c38deb-aae3-44c5-bfac-0bb919effec4,Wangsa Maju,P.116
f6105dcc-97e7-4488-8ad6-dd27a8a88d0a,55c38deb-aae3-44c5-bfac-0bb919effec4,Segambut,P.117
c544d0a6-5000-4e63-8877-3ee75315b249,55c38deb-aae3-44c5-bfac-0bb919effec4,Setiawangsa,P.118
ad6a7b2f-0c31-433e-8fd6-dadc6c0e4f3b,55c38deb-aae3-44c5-bfac-0bb919effec4,Titiwangsa,P.119
63cf1eed-165f-4440-a2e8-31421d7a27f0,55c38deb-aae3-44c5-bfac-0bb919effec4,Bukit Bintang,P.120
21cbef34-ccdc-4ca9-9b7f-b35fc8fef823,55c38deb-aae3-44c5-bfac-0bb919effec4,Lembah Pantai,P.121
1dd646d6-3940-449b-a974-99d862ec1972,55c38deb-aae3-44c5-bfac-0bb919effec4,Seputeh,P.122
b449e554-d15d-4ad1-bc7a-0312bfa0cb0d,55c38deb-aae3-44c5-bfac-0bb919effec4,Cheras,P.123
fa338e6a-1085-4937-ab93-2ebbe9cecc6e,55c38deb-aae3-44c5-bfac-0bb919effec4,Bandar Tun Razak,P.124
